ID,Northing,Easting,Ellip_height
T17,4929648.096,397776.198,-21.227
T16,4929645.029,397773.015,-21.293
T15,4929637.751,397758.423,-20.356
T14,4929652.87,397742.188,-19.639
T13,4929664.401,397737.112,-19.869
T12,4929673.802,397735.326,-19.939
T11,4929680.582,397734.376,-20.076
T10,4929696.489,397731.401,-19.322
T9,4929691.047,397746.733,-21.248
T8,4929626.535,397768.207,-20.263
T7,4929641.637,397754.633,-20.261
T6,4929671.514,397742.788,-20.537
T5,4929698.189,397735.902,-19.974
T4,4929707.256,397740.568,-20.716
T3,4929718.912,397749.319,-21.217
T2,4929715.386,397736.5,-20.402
T1,4929715.045,397732.079,-19.626
SCCTRLBS1,4929733.637,397741.866,-20.926
SCCTRL1,4929726.338,397748.71,-21.4
LDRST2,4972459.734,328734.857,100.012
